,en,ru,pt-br,es-es,de,fr-fr,zh-cn,jp,ko,fi-es,,NOTES – use \n for newline,max length
inventory_rechargetime_tooltip,The time it takes for this wand to recharge when all spells inside it have been cast.,"Время, необходимое для перезарядки жезла, когда все содержащиеся в нем заклинания использованы.",O tempo que leva para esta varinha recarregar após todos os feitiços dela terem sido lançados.,El tiempo que tarda en recargarse la varita cuando ha lanzado todos sus hechizos.,"Die Zeit, die dieser Zauberstab braucht, um sich wiederaufzuladen, wenn alle Zauber darin gewirkt wurden.",Le temps que cette baguette prend pour recharger quand tous les sorts quelle contient ont été lancés.,魔杖内所有法术均被施放后所需的充能时间。,杖が持つ全ての呪文を詠唱した場合の、杖のリチャージ時間。,완드가 사용한 모든 주문이 충전될 때까지 걸리는 시간입니다.,,,,
inventory_manamax,Mana max,Максимум маны,Mana máx.,Maná máx.,Max. Mana,Mana max.,法力最大值,最大マナ,최대 마나,Magia max,,,
inventory_manamax_tooltip,Maximum amount of mana this wand can store.,Максимум хранимой жезлом маны.,O máximo de mana que esta varinha pode armazenar.,Máximo de maná que puede almacenar la varita.,"Maximale Menge an Mana, die dieser Zauberstab speichern kann.",Le mana maximum que cette baguette peut contenir.,这支魔杖可储存的最大法力量。,この杖に保管できるマナの最大数。,이 완드가 가질 수 있는 최대 마나입니다.,,,,
inventory_manachargespeed,Mana chg. Spd,Скор. восст. маны,Vel. de reg. de mana,Vel. rec. maná,Mana-Lade-Geschw.,Tps rech. mana,法力充能速度,マナチャージ速度,마나 충전 속도,Magia lat. Nop.,,,
inventory_manachargespeed_tooltip,This wand's mana regeneration speed.,Скорость восстановления маны у жезла.,A velocidade de regeneração de mana desta varinha.,Velocidad de regeneración de maná de la varita.,Die Mana-Regenerationsgeschwindigkeit dieses Zauberstabs.,La vitesse de régénération de mana de cette baguette.,这支魔杖的法力再生速度。,この杖のマナの再生成スピード。,이 완드의 마나 충전 속도입니다.,,,,
inventory_capacity,Capacity,Емкость,Capacidade,Capacidad,Kapazität,Capacité,容量,容量,용량,Kapasiteetti,,,
inventory_capacity_tooltip,The number of spells that can be inserted into this wand.,"Число заклинаний, которые можно вставить в жезл.",O número de feitiços que podem ser colocados nesta varinha.,Número de hechizos que pueden insertarse en la varita.,"Die Anzahl an Zaubern, die in diesen Zauberstab eingefügt werden können.",Le nombre de sorts qui peuvent être insérés dans cette baguette.,可插入这支魔杖的法术数量。,この杖に挿入できる呪文の数。,완드에 넣을 수 있는 주문의 개수입니다.,,,,
inventory_spread,Spread,Разброс,Dispersão,Dispersión,Streuung,Dispersion,散射,拡散,확산,Hajonta,,,
inventory_spread_tooltip,The directional deviation of projectiles casted by this wand.,Разброс испущенных жезлом снарядов.,A variação da direção dos projéteis lançados por esta varinha.,Desviación de los proyectiles lanzados por la varita.,"Die Streuung der Projektile, die mit diesem Zauberstab gewirkt werden.",La dispersion des projectiles lancés par cette baguette.,这支法杖发出投射物的方向偏移。,この杖によって放射された放射物の方角偏差。,이 완드가 발사하는 발사체가 해당 방향에서 확산되는 범위입니다.,,,,
inventory_chargecapacity,Charge capacity,Емкость заряда,Capacidade de carga,Capacidad de carga,Ladungskapazität,Capacité charge,充能容量,チャージ容量,충전 용량,Latauskapasiteetti,,,
inventory_chargecapacity_tooltip,The amount of charge this wand can store,"Количество заряда, которое может хранить жезл.",A capacidade de carga que esta varinha pode armazenar.,Máximo de carga que puede almacenar la varita.,"Die Menge an Ladung, die dieser Zauberstab speichern kann.",La quantité de charges que cette baguette peut contenir.,这支魔杖可储存的最大充能数量。,この杖に保管できるチャージの量。,이 완드에 저장할 수 있는 충전량입니다.,,,,
inventory_alwayscasts,Always casts,Всегда накладывает,Sempre lança,Siempre lanza,Wirkt immer,Lancer assuré,始终施放,常に呪文を詠唱,항상 시전,,,,
inventory_alwayscasts_description,This wand casts some spells every time it's used.,Жезл накладывает некоторые заклинания при каждом использовании.,Esta varinha lança sempre alguns feitiços ao ser usada.,Esta varita siempre lanza algunos hechizos cuando se usa.,"Dieser Zauberstab wirkt immer einige Zauber, wenn er verwendet wird.",Cette baguette lance des sorts à chaque utilisation,每次使用这支魔杖时施放相同法术。,この杖が使用される度に呪文を詠唱します。,이 완드가 사용하는 일부 주문이 항상 시전됩니다.,,,,
inventory_usesremaining,Uses remaining,Осталось использований,Usos restantes,Usos restantes,Übrige Verwendungen,Util. restantes,剩余使用次数,残りを使用する,남은 사용량,Käyttöjä jäljellä,,,
inventory_actiontype,Type,Тип,Tipo,Tipo,Art,Type,类型,タイプ,유형,,,,
inventory_manadrain,Mana drain,Расход маны,Dreno de mana ,Coste de maná,Manaentzug,Drain mana,法力消耗,マナ流出,마나 소모,Magian kulutus,,,
inventory_damage,Damage,Урон,Dano,Daño,Schaden,Dégâts,伤害,ダメージ,대미지,Vahinko,,,
inventory_dmg_explosion,Dmg. Expl,Урон взрывом,Dano de expl.,Daño expl.,Expl.-Sch.,Dég. expl.,爆炸伤害,爆破ダメージ,폭발 대미지,Vah. Räjä.,,,
inventory_explosion_radius,Expl. Radius,Радиус взрыва,Raio de expl.,Radio expl.,Expl.-Radius,Rayon expl.,爆炸半径,爆破範囲,폭발 범위,Räj. Alue,,,
inventory_dmg_slice,Dmg. Slice,Урон резанием,Dano de corte,Daño corte,Schnitt-Sch.,Dég. tranch.,切割伤害,スライスダメージ,베기 대미지,Vah. Viilto,,,
inventory_dmg_drill,Dmg. Drill,Урон бурением,Dano de furo,Daño perf.,Bohr-Sch.,Dég. perç.,穿凿伤害,ドリルダメージ,관통 대미지,Vah. Pora,,,
inventory_dmg_fire,Dmg. Fire,Урон огнем,Dano de fogo,Daño fuego,Feuer-Sch.,Dég. feu,火焰伤害,炎ダメージ,화염 대미지,Vah. Tuli,,,
inventory_dmg_ice,Dmg. Ice,Урон льдом,Dano de gelo,Daño hielo,Eis-Sch.,Dég. glace,寒冰伤害,氷ダメージ,얼음 대미지,Vah. Jää,,,
inventory_speed,Speed,Скорость,Velocidade,Velocidad,Geschwindigkeit,Vit.,速度,スピード,속도,Nopeus,,,
inventory_mod_castdelay,Cast delay,Задержка заклинаний,Atraso de lançamento,Demora lanz.,Zauberverzögerung,Délai sort,施放延迟,詠唱遅延,시전 딜레이,Heittoviive,,,
inventory_mod_rechargetime,Recharge time,Время перезарядки,Tempo de recarga,Tiempo de recarga,Wiederaufladungs-Zeit,Tps rech.,充能时间,リチャージ時間,충전 시간,Latinkiaika,,,
inventory_mod_bounces,Bounces,Отскоки,Ricochetes,Rebotes,Abpraller,Rebonds,弹起次数,バウンド,바운스,Pomput,,,
inventory_mod_speed,Proj. Speed,Скор. снар.,Vel. de proj.,Vel. proyectil,Proj.-Geschwindigkeit,Vit. proj.,投射速度,放射物速度,발사체 속도,Ammus. Nop.,,,
inventory_mod_explosion_radius,Expl. Radius,Радиус взрыва,Raio de expl.,Radio expl.,Expl.-Radius,Rayon expl.,爆炸半径,爆破範囲,폭발 범위,Räj. Alue,,,
inventory_mod_spread,Spread,Разброс,Dispersão,Dispersión,Streuung,Dispersion,散射,拡散,확산,Hajonta,,,
inventory_mod_knockback,Knockback,Отбрасывание,Empurrão,Empuje,Rückschlag,Projection,击退,ノックバック,넉백,Pusku,,,
inventory_mod_damage,Damage,Урон,Dano,Daño,Schaden,Dégâts,伤害,ダメージ,대미지,Vahinko,,,
inventory_mod_damage_melee,Dmg. Melee,Урон врукопашную,Dano corpo a corpo,Daño físico,Nahkampf-Sch.,Dég. mêlée,近战伤害,近接ダメージ,근접 대미지,Vah. Lyönti,,,
inventory_mod_damage_electric,Dmg. Electric,Урон электричеством,Dano elétr.,Daño eléctrico,Elektrischer Sch.,Dég. électriques,雷电伤害,電撃ダメージ,전기 대미지,Vah. Sähkö,,,
inventory_mod_damage_fire,Dmg. Fire,Урон огнем,Dano de fogo,Daño fuego,Feuer-Sch.,Dég. feu,火焰伤害,炎ダメージ,화염 대미지,Vah. Tuli,,,
inventory_mod_damage_explosion,Dmg. Expl,Урон взрывом,Dano de expl.,Daño expl.,Expl.-Sch.,Dég. expl.,爆炸伤害,爆破ダメージ,폭발 대미지,Vah. Räj.,,,
inventory_mod_critchance,Crit. Chance,Крит. шанс,Chance de crít.,Prob. de crít.,Krit. Chance,Chance crit.,暴击几率,クリティカルチャンス,치명타 확률,Kriit. Mahis,,,
inventory_warning_noactions,WARNING - This wand contains no spells,ВНИМАНИЕ! В жезле нет заклинаний,AVISO: esta varinha não contém feitiços,CUIDADO - Esta varita no contiene hechizos,WARNUNG - Dieser Zauberstab enthält keine Zauber,ATTENTION - Cette baguette ne contient aucun sort,警告 - 这支魔杖不含法术,警告 - この杖には呪文が入っていません,경고 - 완드에 주문이 없음,VAROITUS - Sauvassa ei ole magiaa,,,
inventory_warning_noactions_description,The wand doesn't do anything. Place some spells into the wand's slots.,Жезл ничего не делает. Поставьте в ячейки жезла пару заклинаний.,Esta varinha não faz nada. Coloque alguns feitiços nos espaços dela.,Esta varita no hace nada. Coloca algunos hechizos en las ranuras de la varita.,Der Zauberstab tut nichts. Fülle die Slots des Zauberstabs mit Zaubern.,La baguette ne fait rien. Placez quelques sorts dans ses emplacements.,这支魔杖没有任何作用。请将法术放入魔杖的槽。,この杖には何もすることができません。この杖のスロットに呪文を入れてください。,완드이 아무것도 하지 않습니다. 완드 슬롯에 주문을 넣으세요.,Tämä sauva ei tee mitään. Aseta magiaa sen lokeroihin.,,,
inventory_warning_notenoughmana,WARNING - This wand doesn't have enough mana for $0,ВНИМАНИЕ! В жезле недостаточно маны для заклинания $0,AVISO: esta varinha não tem mana suficiente para $0,CUIDADO - Esta varita no tiene suficiente maná para $0,WARNUNG - Dieser Zauberstab hat nicht genug Mana für $0,ATTENTION - Cette baguette n'a pas assez de mana pour $0,警告 - 这支魔杖没有足够法力使用“$0”,警告 - この杖には $0 用の十分なマナが入っていません,경고 - 완드에 $0 마나가 부족함,,,,
inventory_warning_notenoughmana_description,Wand has max $0 mana. Casting $1 requires $2 mana.,Максимум маны у жезла — $0. На заклинание $1 нужно $2 ед. маны.,A varinha tem $0 de mana máximo. Lançamentos $1 exigem $2 de mana.,El máximo de maná de la varita es $0. Lanzar $1 requiere $2 maná.,Das Zauberstab hat max. $0 Mana. Zum Wirken von $1 sind $2 Mana erforderlich.,La baguette a un mana max. de $0. Lancer $1 nécessite $2 point(s) de mana.,魔杖的最大法力为 $0。施放“$1”需要 $2 法力。,杖には最大 $0 のマナがあります。$1 を詠唱するには $2 マナが必要です。,완드의 최대 마나가 $0입니다. $1 시전을 위해서는 $2 마나가 필요합니다.,,,,
inventory_info_frozen,INFO - This wand has been frozen,ИНФОРМАЦИЯ: жезл заморожен,INFORMAÇÕES: esta varinha foi congelada,INFORMACIÓN - Esta varita ha sido congelada,INFO - Der Zauberstab wurde eingefroren,INFO - Cette baguette a été gelée,信息 - 这支魔杖被冻结了,情報 - この杖は凍結されました,정보 - 완드가 얼었음,VAROITUS - Sauvan sisältö on jäädytetty,,,
inventory_info_frozen_description,A spell prevents the wand from being customized.,Заклинание не дает настроить жезл.,Um feitiço impede que a varinha seja personalizada.,Un hechizo impide que la varita pueda personalizarse.,"Ein Zauber verhindert, dass du den Zauberstab individualisieren kannst.",Un sort empêche la baguette d'être personnalisée.,某个法术阻碍对魔杖进行定制。,呪文は杖のカスタマイズを阻止します。,주문으로 인해 완드를 사용자 지정할 수 없습니다.,Kirous estää tämän sauvan muokkaamisen.,,,
inventory_seconds,$0 s,$0 с,$0 s,$0 s,$0 s,$0 s,$0 秒,$0 秒,$0초,$0 s,,,
inventory_degrees,$0 DEG,$0 ГРАД,$0 GRAUS,$0 GRAD,$0 GRA,$0 DEG.,$0 度,$0 度,$0도,$0 DEG,,,
inventory_actiontype_projectile,Projectile,Снаряд,Projétil,Proyectil,Projektil,Projectile,投射物,放射物,발사체,,,,
inventory_actiontype_staticprojectile,Static proj.,Стат. снаряд,Proj. estát.,Proyectil estático,Statisches Proj.,Proj. statique,静态投射物,静電放射物,지속 발사체,,,,
inventory_actiontype_modifier,Proj. modifier,Модиф. снаряда,Modific. de proj.,Modificador de proyectil,Proj.-Modifikator,Modif. proj.,投射修正,放射物調整盤,발사체 조작,,,,
inventory_actiontype_drawmany,Multicast,Множ. налож.,Multilançamento,Lanzamiento múltiple,Mehrfachzauber,Lancer mult.,多重施放,マルチキャスト,다중 시전,,,,
inventory_actiontype_material,Material,Материал,Material,Material,Substanz,Matériau,材料,資材,재료,,,,
inventory_actiontype_other,Other,Другое,Outro,Otros,Anderes,Autre,其他,その他,기타,,,,
inventory_actiontype_utility,Utility,Полезное,Utilidade,Utilidad,Nützliches,Utilité,实用,ユーティリティー,유틸리티,,,,
inventory_actiontype_passive,Passive,Пассивное,Passiva,Pasiva,Passiv,Passif,被动,受け身,패시브,,,,
item_spell_refresh,Spell refresher,Обновление заклинаний,Reabastecedor de feitiços,Recarga de hechizos,Zauberauffrischung,Rechargeur de sorts,法术刷新器,呪文リフレッシャー,주문 충전기,Magian virkistys,,,
itemtitle_spell_refresh,Picked up Spell refresher,Взято обновление заклинаний,Pegou o Reabastecedor de feitiços,Has recogido una recarga de hechizos,Zauberauffrischung eingesammelt,A ramassé le rechargeur de sorts,已拾取“法术刷新器”,呪文リフレッシャーを拾いました,주문 충전기를 획득했습니다,Magian virkistys,,,
itemdesc_spell_refresh,All spells refreshed,Все заклинания обновлены,Todos os feitiços reabastecidos,Todos los hechizos recargados,Alle Zauber aufgefrischt,Tous les sorts sont rechargés,所有法术已刷新,全ての呪文が更新されました,모든 주문이 충전되었습니다,Kaikki loitsut virkistetty,,,
itemtitle_wand_pickup,Picked up a new magic wand,Взят новый волшебный жезл,Pegou uma nova varinha mágica,Has recogido una nueva varita,Neuen Zauberstab eingesammelt,A ramassé une nouvelle baguette magique,已拾取新魔杖,新しい魔法の杖を拾いました,새 마법 완드를 획득했습니다,,,,
itemtitle_chest_open,Opened a treasure chest!,Открыт сундук с сокровищами!,Abriu um baú de tesouro!,¡Cofre del tesoro abierto!,Schatztruhe geöffnet!,A ouvert un coffre au trésor !,已开启一个宝箱！,宝箱を開きました！,보물 상자를 열었습니다!,,,,
itemtitle_chest_broken_open,A chest was broken open,Сундук был взломан,Um baú foi arrombado,Un cofre ha sido abierto a golpes,Eine Truhe wurde aufgebrochen,Un coffre a été ouvert de force,宝箱被破开,箱が壊れた状態で開いていました,보물 상자를 망가뜨려 열었습니다,,,,
log_endcrystal,Touched the cursed crystal!,Коснулись проклятого кристалла!,Touched the cursed crystal!,¡Has tocado el cristal maldito!,Den verfluchten Kristall berührt!,A touché le cristal maudit !,触摸了诅咒水晶！,呪われたクリスタルに触りました！,저주 받은 수정을 건드렸습니다!,,,,
logdesc_endcrystal,Something stirs above you,Something stirs above you,Something stirs above you,Algo se retuerce sobre ti,Etwas rührt sich über dir,Something stirs above you,Something stirs above you,何かが頭上で回っています,위쪽이 뭔가 소란스럽습니다,,,,
logdesc_temple_spawn_guardian,You have angered the Gods,Вы разозлили богов,Você enfureceu os deuses,Has enfurecido a los dioses,Du hast die Götter verärgert,Vous vous êtes attiré la colère des dieux,你触怒了神明,神々の怒りを買いました,신들의 분노를 샀습니다,,,,
logdesc_gods_are_angry,You have angered the Gods,Вы разозлили богов,Você enfureceu os deuses,Has enfurecido a los dioses,Du hast die Götter verärgert,Vous vous êtes attiré la colère des dieux,你触怒了神明,神々の怒りを買いました,신들의 분노를 샀습니다,,,,
logdesc_gods_are_very_angry,The Gods are very angry with you,Боги очень злы на вас,Os deuses estão furiosos com você,Los dioses están muy molestos contigo,Die Götter sind sehr wütend auf dich,Les dieux sont furieux envers vous,神明对你非常生气,神々があなたに対して激怒しています,신들이 당신에게 매우 화가 났습니다,,,,
damage_projectile,projectile,метание,projétil,proyectil,Projektil,projectile,投射物,放射物,발사체,ammus,,,
damage_electricity,electricity,электричество,eletricidade,electricidad,Elektrizität,électricité,雷电,電撃,전기,sähkö,,,
damage_explosion,explosion,взрыв,explosão,explosión,Explosion,explosion,爆炸,爆破,폭발,räjähdys,,,
damage_fire,fire,огонь,fogo,fuego,Feuer,feu,火焰,炎,불,tuli,,,
damage_melee,melee,рукопашная,corpo a corpo,cuerpo a cuerpo,Nahkampf,mêlée,近战,近接,근접,lyönti,,,
damage_drill,drill,бурение,furo,perforante,Bohren,perçant,穿凿,ドリル,관통,pora,,,
damage_slice,slice,резание,corte,corte,Schnitt,tranchant,切削,スライス,베기,viilto,,,
damage_ice,ice,лед,gelo,hielo,Eis,glace,寒冰,氷,얼음,jää,,,
damage_healing,healing,лечение,cura,sanación,Heilung,soin,治疗,回復,치료,hiilaus,,,
damage_physicshit,physics hit,физический удар,acerto de física,golpe del entorno,physischer Treffer,coup physique,物理击打,物理ヒット,물리 명중,törmäys,,,
damage_radioactive,toxic,радиоактивность,tóxico,tóxico,toxisch,toxique,毒液,猛毒,독성,radioaktiivinen,,,
damage_poison,poison,яд,veneno,veneno,Gift,poison,中毒,毒,독,myrkky,,,
damage_water,wetness,влажность,umidade,humedad,Nässe,humidité,潮湿,湿気,젖음,kastuminen,,,
damage_fall,fall,падение,queda,caída,fallen,chute,坠落,落下,추락,putoaminen,,,
damage_drowning,drowning,утопление,afogamento,ahogo,ertrinken,noyade,窒息,溺れる,익사,hukkuminen,,,
damage_frommaterial,damage from material: $0,урон от материала: $0,dano de material: $0,daño de material: $0,Schaden durch Substanz: $0,dégâts par matériau : $0,来自材料的伤害：$0,資材によるダメージ： $0,재료 대미지: $0,materiaalivahinko: $0,,,
damage_kick,kick,удар,chutar,Patada,Schlag,coup de pied,踢击,蹴る,발차기,potku,,,
damage_holy_mountains_curse,Holy Mountain's curse,Проклятие Святой горы,Maldição da Montanha Sagrada,Maldición de la Montaña Sagrada,Der Fluch des Heiligen Bergs,malédiction de la Montagne sacrée,圣山之咒,聖なる山の呪い,신성한 산의 저주,Pyhän Vuoren kirous,,,
stat_depth,Depth:,Глубина:,Profundidade:,Profundidad:,Tiefe:,Profondeur :,深度：,深さ：,깊이:,Syvyys:,,,
stat_time,Time:,Время:,Tempo:,Tiempo:,Zeit:,Temps :,时间：,時間：,시간:,Aika:,,,
stat_places_visited,Places visited:,Посещено мест:,Locais visitados:,Lugares visitados:,Besuchte Orte:,Endroits visités :,造访地点：,訪れた場所：,방문한 장소:,Löydetyt paikat:,,,
stat_enemies_slain,Enemies slain:,Убито врагов:,Inimigos abatidos:,Enemigos derrotados:,Getötete Feinde:,Ennemis tués :,击杀敌人：,倒した敵：,죽인 적:,Listityt vihut:,,,
stat_max_hp,Max HP:,Макс. ОЗ:,PV máx.:,PS máx.:,Max. LP:,PV max. :,最大生命值：,最大HP：,최대 체력:,Max HP:,,,
stat_gold,Gold:,Золото:,Ouro:,Oro:,Gold:,Or :,黄金：,ゴールド：,골드:,Kultaa:,,,
stat_items_found,Items found:,Найдено предметов:,Itens encontrados:,Objetos encontrados:,Gefundene Gegenstände:,Objets trouvés :,找到物品：,見つけたアイテム：,발견한 아이템:,Löydetyt esineet:,,,
stat_orbs,Orbs collected:,Собрано шаров:,Orbes coletados:,Orbes recogidos:,Gesammelte Kugeln:,Orbes récupérés :,获得魔球：,回収したオーブ：,수집한 오브:,Löydetyt taikapallot:,,,
stat_total_deaths,Total deaths:,Всего смертей:,Mortes:,Total de muertes:,Gesamte Tode:,Morts totales :,死亡总次数：,合計死亡数：,총 사망:,Kuolemia yhteensä:,,,
stat_total_play_time,Total play time:,Общее время игры:,Tempo de jogo:,Tiempo jugado:,Gesamte Spielzeit:,Temps de jeu total :,游玩总时间：,合計プレイ時間：,총 플레이 시간:,Peliaika yhteensä:,,,
stat_total_wins,Total wins:,Всего побед:,Vitórias:,Total de victorias:,Gesamte Siege:,Victoires totales :,胜利总次数：,合計勝利数：,총 승리:,Läpäisyjä:,,,
stat_cause_of_death,Cause of death: '$0',Причина смерти: «$0»,Causa da morte: $0,Causa de la muerte: '$0',Todesursache: $0,Cause de la mort : « $0 »,死因：“$0”,死因： 「$0」,사망 원인: '$0',Kuolinsyy: '$0',,,
stat_best,(Best: $0),(Лучший результат: $0),(Recorde: $0),(Mejor: $0),(Bestleistung: $0),(Meilleur : $0),（最佳：$0）,(最高： 「$0」),(최고: $0),(Paras: $0),,,
credits_game_by,A game by,Авторы игры,Jogo produzido por,Un juego creado por,Ein Spiel von,Un jeu par,诚意推出,ゲーム制作,게임 제작:,Noidan tekivät:,,,
credits_music,With music by From Grotto and Niilo Takalainen,Музыка: From Grotto и Niilo Takalainen,Com músicas de Grotto e Niilo Takalainen,Con música de From Grotto y Niilo Takalainen,Mit Musik von Grotto und Niilo Takalainen,Musique composée par From Grotto et Niilo Takalainen,由 From Grotto 与 Niilo Takalainen 负责音乐,楽曲提供：From Grotto、Niilo Takalainen,음악 제작: From Grotto와 Niilo Takalainen,Musiikin tuottivat From Grotto ja Niilo Takalainen,,,
credits_sounddesign,Sound design by Niilo Takalainen,Звуковое оформление: Niilo Takalainen,Design de som feito por Niilo Takalainen,Diseño de sonido: Niilo Takalainen,Sound-Design von Niilo Takalainen,Conception sonore par Niilo Takalainen,音效设计 Niilo Takalainen,サウンドデザイン：Niilo Takalainen,사운드 디자인: Niilo Takalainen,Äänet toteutti: Niilo Takalainen,,,
credits_fmod,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,Noita использует FMOD Studio от Firelight Technologies Pty Ltd,Noita usa FMOD Studio da Firelight Technologies Pty Ltd.,Noita usa FMOD Studio de Firelight Technologies Pty Ltd,Noita verwendet FMOD Studio von Firelight Technologies Pty Ltd,Noita utilise FMOD Studio par Firelight Technologies Pty Ltd,《Noita》使用 Firelight Technologies Pty Ltd. 推出的 FMOD Studio 制作,NoitaはFirelight Technologies Pty LtdのFMOD Studioを使用しています,Noita는 Firelight Technologies Pty Ltd의 FMOD Studio를 사용했습니다.,Noita uses FMOD Studio by Firelight Technologies Pty Ltd,,,
credits_copyright,Noita (c) Nolla Games Oy 2019,"Noita (c) Nolla Games Oy, 2019",Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,《Noita》(c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,Noita (c) Nolla Games Oy 2019,,,
progress_perks,Perks,Бонусы,Vantagens,Ventajas,Boni,Avantages,特性,特典,능력,Perkit,,,
progress_actions,Spells,Заклинания,Feitiços,Hechizos,Zauber,Sorts,法术,呪文,주문,Loitsut,,,
progress_secrets,Secrets,Секреты,Segredos,Secretos,Geheimnisse,Secrets,秘密,秘密,비밀,Salarit,,,
progress_enemies,Enemies,Враги,Inimigos,Enemigos,Feinde,Ennemis,敌人,敵,적,Vihut,,,
progress_unlocked,Unlocks,Открытие,Desbloqueios,Desbloqueos,Freischaltungen,Déverrouillages,解锁,アンロック,잠금 해제,,,,
progress_completed,$0 $1 secrets found,Найдено секретов: $0 $1,$0/$1 segredos encontrados,$0 $1 secretos encontrados,$0 $1 Geheimnisse gefunden,$0 $1 secrets trouvés,$0 $1 秘密已发现,$0 $1 の秘密を発見,$0 $1 비밀 발견,$0 läpäisty $1,,,
progress_kills,Kills: $0,Убийства: $0,Abates: $0,Muertes: $0,Tötungen: $0,Victimes : $0,击杀：$0,キル数： $0,킬: $0,,,,
progress_unknown,???,???,???,¿¿??,???,???,???,???,???,???,,,
progress_ending0,Discovered the secret below - ,Найден секрет ниже — ,Descobriu o segredo abaixo - ,Has descubierto el secreto inferior - ,Das untere Geheimnis gefunden - ,A découvert le secret en bas - ,已发现下方的秘密 - ,下記の秘密を発見しました - ,아래 비밀을 발견했습니다 - ,,,,
progress_ending1,Discovered the secret above - ,Найден секрет выше — ,Descobriu o segredo acima - ,Has descubierto el secreto superior - ,Das obere Geheimnis gefunden - ,A découvert le secret en haut - ,已发现上方的秘密 - ,上記の秘密を発見しました - ,위 비밀을 발견했습니다 - ,,,,
progress_ending01,Discovered the secrets above and below - ,Найдены секреты выше и ниже — ,Descobriu os segredos acima e abaixo - ,Has descubierto los secretos superior e inferior - ,Das obere und untere Geheimnis gefunden - ,A découvert les secrets en haut et en bas - ,已发现上方和下方的秘密 - ,上記と下記の秘密を発見しました - ,위와 아래의 비밀을 발견했습니다 - ,,,,
status_wet,Wet,Влага,Molhado,Mojado,Nass,Mouillé(e),潮湿,ウェット,젖음,Märkä,,,
statusdesc_wet,Wet clothes protect you from fire.,Влажная одежда защищает от огня.,Roupas molhadas protegem você do fogo.,La ropa mojada te protege del fuego,Nasse Kleidung schützt dich vor Feuer.,Les vêtements mouillés vous protègent du feu.,潮湿的衣服可保护你免受火焰伤害。,濡れている服は炎からあなたを守ってくれます。,젖은 옷은 불로부터 보호해줍니다.,Olet märkä. Tuli ei sytytä.,,,
status_oiled,Oiled ,Нефть ,Untado ,Aceitoso ,Geölt ,Huilé(e) ,油污 ,オイル ,기름칠 ,Öljyinen,,,
statusdesc_oiled,Oil makes you slippery and more flammable.,Нефть делает вас скользкими и легковозгораемыми.,O petróleo deixa você escorregadio e mais inflamável.,El aceite te hace resbaladizo e inflamable,Öl macht dich rutschig und leicht entflammbar.,L'huile vous rend glissant et inflammable.,油会令你行动打滑，并且更容易着火。,オイルはあなたをヌルヌルにして、引火しやすくします。,기름칠을 하면 더 미끄럽고 불이 잘 붙습니다.,Olet öljyinen. Liike on liukasta. Palaminen kestää pidempään.,,,
status_bloody,Bloody ,Кровь ,Ensanguentado ,Ensangrentado ,Blutig ,Ensanglanté(e) ,染血 ,ブラッディー ,피투성이 ,Verinen,,,
statusdesc_bloody,Bloody clothes protect you from fire.\nYou sense an increased chance of attaining critical hits.,Окровавленная одежда защищает от огня.\nТакже у вас повышена вероятность критических ударов.,Roupas ensanguentadas protegem você do fogo.\nVocê sente uma chance maior de realizar acertos críticos.,La ropa ensangrentada te protege del fuego.\nSientes una mayor probabilidad de conseguir golpes críticos.,Blutige Kleidung schützt dich vor Feuer.\nDeine Chance auf kritische Treffer ist erhöht.,Les vêtements ensanglantés vous protègent du feu.\nVous sentez que vous avez plus de chances de porter des coups critiques.,染血的衣服可保护你免受火焰伤害。\n你感觉自己更容易打出暴击。,血だらけの服はあなたを火から守ってくれます。\nクリティカルヒットの達成率が増加します。,피투성이 옷은 불로부터 보호해줍니다.\n치명타를 올릴 확률이 높아진 거 같습니다.,Olet verinen. Tuli ei sytytä. Kasvatettu kriittisen iskun onnistumisen mahdollisuus.,,,
status_slimy,Slimy,Слизь,Pegajoso,Gelatinoso,Schleimig,Gluant(e),粘液,スライミー,미끈거림,Limainen,,,
statusdesc_slimy,Your slimy clothes protect you from fire.\nThe mucus makes moving around difficult.,Испачканная в слизи одежда защищает от огня.\nСлизь затрудняет передвижение.,Roupas pegajosas protegem você do fogo.\nO muco dificulta sua locomoção.,La ropa gelatinosa te protege del fuego.\nLa mucosa dificulta el movimiento.,Deine schleimige Kleidung schützt dich vor Feuer.\nDer Schleim erschwert dir die Fortbewegung.,Les vêtements gluants vous protègent du feu.\nLe mucus rend les mouvements difficiles.,沾染粘液的衣服可保护你免受火焰伤害。\n黏答答的粘液令移动更加困难。,ベトベトな服はあなたを火から守ってくれます。\n粘液のせいで移動が困難になります。,미끈한 옷은 불로부터 보호해줍니다.\n점액질 때문에 이동하기가 어렵습니다.,Olet limainen. Liike on hidasta. Tuli ei sytytä.,,,
status_radioactive,Toxic,Радиоактивность,Tóxico,Tóxico,Toxisch,Toxique,毒液,猛毒,독성,Radioaktiivinen,,,
