,en,fi-es,ru,zh-cn,jp,ko,pt-br,es-es,de,fr-fr,,NOTES – use \n for newline,max length
log_block_attack,BLOCK,TORJUI,БЛОК,格挡,ブロック,차단,BLOQUEOU,BLOQUEO,BLOCK,BLOCAGE,,,
log_coop_resurrected,RESURRECTED,UUDELLEENHERÄTETTY,ОЖИВЛЕНИЕ,复活,復活しました,부활함,RESSUSCITOU,RESUCITADO,WIEDERBELEBT,RÉSURRECTION,,,
log_coop_resurrected_player,Resurrected player $0!,PELAAJA $0 UUDELLEENSYNTYI,Оживлен игрок $0!,复活了玩家“$0”！,プレイヤー $0 を復活させました！,$0님을 부활시켰습니다!,$0 ressuscitado(a)!,¡Jugador $0 resucitado!,Spieler $0 WIEDERBELEBT!,A ressuscité le joueur $0 !,,,
log_coop_partner_is_dead,Partner is dead!,Partneri kuoli!,Партнер умер!,伙伴死亡！,パートナーが死亡しました！,파트너가 죽었습니다!,O parceiro morreu!,¡El compañero ha muerto!,Partner ist tot!,Le partenaire est mort,,,
log_coop_started,CO-OP!,CO-OP!,КООПЕРАТИВ!,合作！,協力モード！,협동!,COOPERATIVO!,¡COOPERATIVO!,CO-OP!,COOP !,,,
log_chest,Opened a treasure chest!,,Открыт сундук с сокровищами!,已开启一个宝箱！,宝箱を開きました！,보물 상자를 열었습니다!,Abriu um baú de tesouro!,¡Cofre del tesoro abierto!,Schatztruhe geöffnet!,A ouvert un coffre au trésor !,,,
logdesc_chest_gold,You got $0 gold!,,Вы получили $0 ед. золота!,获得$0黄金！,$0 ゴールドを獲得しました！,$0 골드를 받았습니다!,Você obteve $0 em ouro!,¡Obtienes $0 de oro!,Du erhältst $0 Gold!,Vous avez obtenu $0 unité(s) d'or !,,,
log_heart,Picked up Extra Max Health,,Взято дополнительное максимальное здоровье,已拾取“追加生命值上限”,追加最大ヘルスを拾いました,추가 최대 체력을 획득했습니다,Coletou saúde máxima extra,Salud máxima adicional recogida,Erhöhte max. LP eingesammelt,A ramassé PV max. supplémentaire,,,
logdesc_heart,Increased maximum health to $0,,Максимум здоровья увеличен до $0,将生命值上限提高为 $0,最大ヘルスが $0 まで増加しました,최대 체력이 $0(으)로 증가했습니다,Saúde máxima aumentada para $0,Salud máxima aumentada a $0,Maximale LP auf $0 erhöht,A augmenté la santé maximum à $0,,,
logdesc_heart_blocked,Increased maximum health to $0 ..but some sort of curse blocked the increase of maximum health!,,Максимум здоровья увеличен до $0… Но какое-то проклятие не дало этому случиться!,将生命值上限提高为 $0... 但某种诅咒阻碍了生命值上限的提升！,最大ヘルスが $0 まで増加しました…が、何かの呪いが最大ヘルスの増加をブロックしました！,최대 체력이 $0(으)로 증가했습니다 ...그런데 저주가 최대 체력의 증가를 차단했습니다!,Saúde máxima aumentada para $0... porém uma espécie de maldição bloqueou o aumento da saúde máxima!,Salud máxima aumentada a $0... ¡pero algún tipo de maldición impide el aumento de salud!,Maximale LP auf $0 erhöht … aber eine Art Fluch hat die Erhöhung der maximalen LP blockiert!,A augmenté la santé maximum à $0... mais une sorte de malédiction a bloqué l'augmentation de la santé maximum !,,,
log_heart_better,Picked up Extra Max Health,,Взято дополнительное максимальное здоровье,已拾取“追加生命值上限”,追加最大ヘルスを拾いました,추가 최대 체력을 획득했습니다,Coletou saúde máxima extra,Salud máxima adicional recogida,Erhöhte max. LP eingesammelt,A ramassé PV max. supplémentaire,,,
logdesc_heart_better,Increased maximum health to $0,,Максимум здоровья увеличен до $0,将生命值上限提高为 $0,最大ヘルスが $0 まで増加しました,최대 체력이 $0(으)로 증가했습니다,Saúde máxima aumentada para $0,Salud máxima aumentada a $0,Maximale LP auf $0 erhöht,A augmenté la santé maximum à $0,,,
log_heart_fullhp,Picked up Full Health Regeneration,,Взято полное восстановление здоровья,已拾取“完全生命值再生”,ヘルス満タン再生成を拾いました,완전 체력 재생을 획득했습니다,Coletou Regeneração de saúde completa,Regeneración completa de salud recogida,Vollständige LP-Regeneration eingesammelt,A ramassé Régénération de santé complète,,,
logdesc_heart_fullhp,Restored health to $0,,Здоровье восстановлено до $0,将生命值回复至 $0,ヘルスが $0 まで回復しました,체력이 $0(으)로 회복했습니다,Saúde restaurada para $0,Se ha restaurado $0 de salud,LP auf $0 wiederhergestellt,A restauré la santé jusqu'à $0,,,
log_discovered,You have discovered $0,,Вы обнаружили следующее: $0,你发现了“$0”,$0 を発見しました,$0(을)를 발견했습니다,Você descobriu $0,Has descubierto $0,Du hast $0 entdeckt,Vous avez découvert $0,,,
inventory_sort,Sort,Järjestä,По порядку,排序,並べ替え,정렬,Ordenar,Ordenar,Sortieren,Trier,,,
inventory_shuffle,Shuffle,Sekoittaa,Случайно,乱序,シャッフル,섞기,Embaralhamento,Aleatorio,Mischen,Aléatoire,,,
inventory_shuffle_tooltip,Wands that shuffle cast their spells in random order.,,Жезлы со случайным порядком накладывают заклинания в случайном порядке.,以随机乱序施放法术的魔杖。,呪文をランダムな順番でシャッフルして詠唱する杖。,주문을 주작위 순서로 뒤섞는 완드입니다.,Varinhas que lançam seus feitiços em ordem aleatória.,"Las varitas con ""aleatorio"" lanzan sus hechizos de forma desordenada.",Mischende Zauberstäbe wirken ihre Zauber in einer zufälligen Reihenfolge.,Les baguettes aléatoires lancent leurs sorts dans un ordre au hasard.,,,
inventory_actionspercast,Spells/Cast,Loitsuja per heitto,Заклинания/использование,法术数/施放,呪文/詠唱,주문/시전,Feitiços/Lançamento,Lanzamientos,Zauber/Beschwörung,Sorts/Lancer,,,
inventory_actionspercast_tooltip,The number of spells this wand casts when used.,,"Число заклинаний, которые накладывает жезл при использовании.",使用这支魔杖时，施放的法术数量。,この杖を使用中に詠唱する呪文の数。,이 완드가 시전하는 주문의 숫자입니다.,O número de feitiços que esta varinha lança ao ser usada.,Número de hechizos que lanza la varita cuando se usa.,"Die Anzahl an Zaubern, die dieser Zauberstab wirkt, wenn er verwendet wird.",Le nombre de sorts que cette baguette lance à l'utilisation.,,,
inventory_castdelay,Cast delay,Vetoviive,Задержка заклинаний,施放延迟,詠唱遅延,시전 딜레이,Atraso de lançamento,Demora lanz.,Zauberverzögerung,Délai sort,,,
inventory_castdelay_tooltip,The time between casts.,,Время между наложением заклинаний.,法术施放之间的时间间隔。,詠唱間隔（時間）,시전 사이의 시간입니다.,O tempo entre os lançamentos.,Tiempo entre lanzamientos,Die Zeit zwischen Zaubern.,Le temps entre deux lancers.,,,
inventory_rechargetime,Rechrg. Time,Latinkiaika,Время перезар.,充能时间,リチャージ時間,충전 시간,Tempo de recarga,Tiempo de rec.,Wiederaufl.-Zeit,Tps rech.,,,
inventory_rechargetime_tooltip,The time it takes for this wand to recharge when all spells inside it have been cast.,,"Время, необходимое для перезарядки жезла, когда все содержащиеся в нем заклинания использованы.",魔杖内所有法术均被施放后所需的充能时间。,杖が持つ全ての呪文を詠唱した場合の、杖のリチャージ時間。,완드가 사용한 모든 주문이 충전될 때까지 걸리는 시간입니다.,O tempo que leva para esta varinha recarregar após todos os feitiços dela terem sido lançados.,El tiempo que tarda en recargarse la varita cuando ha lanzado todos sus hechizos.,"Die Zeit, die dieser Zauberstab braucht, um sich wiederaufzuladen, wenn alle Zauber darin gewirkt wurden.",Le temps que cette baguette prend pour recharger quand tous les sorts quelle contient ont été lancés.,,,
inventory_manamax,Mana max,Magia max,Максимум маны,法力最大值,最大マナ,최대 마나,Mana máx.,Maná máx.,Max. Mana,Mana max.,,,
inventory_manamax_tooltip,Maximum amount of mana this wand can store.,,Максимум хранимой жезлом маны.,这支魔杖可储存的最大法力量。,この杖に保管できるマナの最大数。,이 완드가 가질 수 있는 최대 마나입니다.,O máximo de mana que esta varinha pode armazenar.,Máximo de maná que puede almacenar la varita.,"Maximale Menge an Mana, die dieser Zauberstab speichern kann.",Le mana maximum que cette baguette peut contenir.,,,
inventory_manachargespeed,Mana chg. Spd,Magia lat. Nop.,Скор. восст. маны,法力充能速度,マナチャージ速度,마나 충전 속도,Vel. de reg. de mana,Vel. rec. maná,Mana-Lade-Geschw.,Tps rech. mana,,,
inventory_manachargespeed_tooltip,This wand's mana regeneration speed.,,Скорость восстановления маны у жезла.,这支魔杖的法力再生速度。,この杖のマナの再生成スピード。,이 완드의 마나 충전 속도입니다.,A velocidade de regeneração de mana desta varinha.,Velocidad de regeneración de maná de la varita.,Die Mana-Regenerationsgeschwindigkeit dieses Zauberstabs.,La vitesse de régénération de mana de cette baguette.,,,
inventory_capacity,Capacity,Kapasiteetti,Емкость,容量,容量,용량,Capacidade,Capacidad,Kapazität,Capacité,,,
inventory_capacity_tooltip,The number of spells that can be inserted into this wand.,,"Число заклинаний, которые можно вставить в жезл.",可插入这支魔杖的法术数量。,この杖に挿入できる呪文の数。,완드에 넣을 수 있는 주문의 개수입니다.,O número de feitiços que podem ser colocados nesta varinha.,Número de hechizos que pueden insertarse en la varita.,"Die Anzahl an Zaubern, die in diesen Zauberstab eingefügt werden können.",Le nombre de sorts qui peuvent être insérés dans cette baguette.,,,
inventory_spread,Spread,Hajonta,Разброс,散射,拡散,확산,Dispersão,Dispersión,Streuung,Dispersion,,,
inventory_spread_tooltip,The directional deviation of projectiles casted by this wand.,,Разброс испущенных жезлом снарядов.,这支法杖发出投射物的方向偏移。,この杖によって放射された放射物の方角偏差。,이 완드가 발사하는 발사체가 해당 방향에서 확산되는 범위입니다.,A variação da direção dos projéteis lançados por esta varinha.,Desviación de los proyectiles lanzados por la varita.,"Die Streuung der Projektile, die mit diesem Zauberstab gewirkt werden.",La dispersion des projectiles lancés par cette baguette.,,,
inventory_chargecapacity,Charge capacity,Latauskapasiteetti,Емкость заряда,充能容量,チャージ容量,충전 용량,Capacidade de carga,Capacidad de carga,Ladungskapazität,Capacité charge,,,
inventory_chargecapacity_tooltip,The amount of charge this wand can store,,"Количество заряда, которое может хранить жезл.",这支魔杖可储存的最大充能数量。,この杖に保管できるチャージの量。,이 완드에 저장할 수 있는 충전량입니다.,A capacidade de carga que esta varinha pode armazenar.,Máximo de carga que puede almacenar la varita.,"Die Menge an Ladung, die dieser Zauberstab speichern kann.",La quantité de charges que cette baguette peut contenir.,,,
inventory_alwayscasts,Always casts,,Всегда накладывает,始终施放,常に呪文を詠唱,항상 시전,Sempre lança,Siempre lanza,Wirkt immer,Lancer assuré,,,
inventory_alwayscasts_description,This wand casts some spells every time it's used.,,Жезл накладывает некоторые заклинания при каждом использовании.,每次使用这支魔杖时施放相同法术。,この杖が使用される度に呪文を詠唱します。,이 완드가 사용하는 일부 주문이 항상 시전됩니다.,Esta varinha lança sempre alguns feitiços ao ser usada.,Esta varita siempre lanza algunos hechizos cuando se usa.,"Dieser Zauberstab wirkt immer einige Zauber, wenn er verwendet wird.",Cette baguette lance des sorts à chaque utilisation,,,
inventory_usesremaining,Uses remaining,Käyttöjä jäljellä,Осталось использований,剩余使用次数,残りを使用する,남은 사용량,Usos restantes,Usos restantes,Übrige Verwendungen,Util. restantes,,,
inventory_actiontype,Type,,Тип,类型,タイプ,유형,Tipo,Tipo,Art,Type,,,
inventory_manadrain,Mana drain,Magian kulutus,Расход маны,法力消耗,マナ流出,마나 소모,Dreno de mana ,Coste de maná,Manaentzug,Drain mana,,,
inventory_damage,Damage,Vahinko,Урон,伤害,ダメージ,대미지,Dano,Daño,Schaden,Dégâts,,,
inventory_dmg_explosion,Dmg. Expl,Vah. Räjä.,Урон взрывом,爆炸伤害,爆破ダメージ,폭발 대미지,Dano de expl.,Daño expl.,Expl.-Sch.,Dég. expl.,,,
inventory_explosion_radius,Expl. Radius,Räj. Alue,Радиус взрыва,爆炸半径,爆破範囲,폭발 범위,Raio de expl.,Radio expl.,Expl.-Radius,Rayon expl.,,,
inventory_dmg_slice,Dmg. Slice,Vah. Viilto,Урон резанием,切割伤害,スライスダメージ,베기 대미지,Dano de corte,Daño corte,Schnitt-Sch.,Dég. tranch.,,,
inventory_dmg_drill,Dmg. Drill,Vah. Pora,Урон бурением,穿凿伤害,ドリルダメージ,관통 대미지,Dano de furo,Daño perf.,Bohr-Sch.,Dég. perç.,,,
inventory_dmg_fire,Dmg. Fire,Vah. Tuli,Урон огнем,火焰伤害,炎ダメージ,화염 대미지,Dano de fogo,Daño fuego,Feuer-Sch.,Dég. feu,,,
inventory_dmg_ice,Dmg. Ice,Vah. Jää,Урон льдом,寒冰伤害,氷ダメージ,얼음 대미지,Dano de gelo,Daño hielo,Eis-Sch.,Dég. glace,,,
inventory_speed,Speed,Nopeus,Скорость,速度,スピード,속도,Velocidade,Velocidad,Geschwindigkeit,Vit.,,,
inventory_mod_castdelay,Cast delay,Heittoviive,Задержка заклинаний,施放延迟,詠唱遅延,시전 딜레이,Atraso de lançamento,Demora lanz.,Zauberverzögerung,Délai sort,,,
inventory_mod_rechargetime,Recharge time,Latinkiaika,Время перезарядки,充能时间,リチャージ時間,충전 시간,Tempo de recarga,Tiempo de recarga,Wiederaufladungs-Zeit,Tps rech.,,,
inventory_mod_bounces,Bounces,Pomput,Отскоки,弹起次数,バウンド,바운스,Ricochetes,Rebotes,Abpraller,Rebonds,,,
inventory_mod_speed,Proj. Speed,Ammus. Nop.,Скор. снар.,投射速度,放射物速度,발사체 속도,Vel. de proj.,Vel. proyectil,Proj.-Geschwindigkeit,Vit. proj.,,,
inventory_mod_explosion_radius,Expl. Radius,Räj. Alue,Радиус взрыва,爆炸半径,爆破範囲,폭발 범위,Raio de expl.,Radio expl.,Expl.-Radius,Rayon expl.,,,
inventory_mod_spread,Spread,Hajonta,Разброс,散射,拡散,확산,Dispersão,Dispersión,Streuung,Dispersion,,,
inventory_mod_knockback,Knockback,Pusku,Отбрасывание,击退,ノックバック,넉백,Empurrão,Empuje,Rückschlag,Projection,,,
inventory_mod_damage,Damage,Vahinko,Урон,伤害,ダメージ,대미지,Dano,Daño,Schaden,Dégâts,,,
inventory_mod_damage_melee,Dmg. Melee,Vah. Lyönti,Урон врукопашную,近战伤害,近接ダメージ,근접 대미지,Dano corpo a corpo,Daño físico,Nahkampf-Sch.,Dég. mêlée,,,
inventory_mod_damage_electric,Dmg. Electric,Vah. Sähkö,Урон электричеством,雷电伤害,電撃ダメージ,전기 대미지,Dano elétr.,Daño eléctrico,Elektrischer Sch.,Dég. électriques,,,
inventory_mod_damage_fire,Dmg. Fire,Vah. Tuli,Урон огнем,火焰伤害,炎ダメージ,화염 대미지,Dano de fogo,Daño fuego,Feuer-Sch.,Dég. feu,,,
inventory_mod_damage_explosion,Dmg. Expl,Vah. Räj.,Урон взрывом,爆炸伤害,爆破ダメージ,폭발 대미지,Dano de expl.,Daño expl.,Expl.-Sch.,Dég. expl.,,,
inventory_mod_critchance,Crit. Chance,Kriit. Mahis,Крит. шанс,暴击几率,クリティカルチャンス,치명타 확률,Chance de crít.,Prob. de crít.,Krit. Chance,Chance crit.,,,
inventory_warning_noactions,WARNING - This wand contains no spells,VAROITUS - Sauvassa ei ole magiaa,ВНИМАНИЕ! В жезле нет заклинаний,警告 - 这支魔杖不含法术,警告 - この杖には呪文が入っていません,경고 - 완드에 주문이 없음,AVISO: esta varinha não contém feitiços,CUIDADO - Esta varita no contiene hechizos,WARNUNG - Dieser Zauberstab enthält keine Zauber,ATTENTION - Cette baguette ne contient aucun sort,,,
inventory_warning_noactions_description,The wand doesn't do anything. Place some spells into the wand's slots.,Tämä sauva ei tee mitään. Aseta magiaa sen lokeroihin.,Жезл ничего не делает. Поставьте в ячейки жезла пару заклинаний.,这支魔杖没有任何作用。请将法术放入魔杖的槽。,この杖には何もすることができません。この杖のスロットに呪文を入れてください。,완드이 아무것도 하지 않습니다. 완드 슬롯에 주문을 넣으세요.,Esta varinha não faz nada. Coloque alguns feitiços nos espaços dela.,Esta varita no hace nada. Coloca algunos hechizos en las ranuras de la varita.,Der Zauberstab tut nichts. Fülle die Slots des Zauberstabs mit Zaubern.,La baguette ne fait rien. Placez quelques sorts dans ses emplacements.,,,
inventory_warning_notenoughmana,WARNING - This wand doesn't have enough mana for $0,,ВНИМАНИЕ! В жезле недостаточно маны для заклинания $0,警告 - 这支魔杖没有足够法力使用“$0”,警告 - この杖には $0 用の十分なマナが入っていません,경고 - 완드에 $0 마나가 부족함,AVISO: esta varinha não tem mana suficiente para $0,CUIDADO - Esta varita no tiene suficiente maná para $0,WARNUNG - Dieser Zauberstab hat nicht genug Mana für $0,ATTENTION - Cette baguette n'a pas assez de mana pour $0,,,
inventory_warning_notenoughmana_description,Wand has max $0 mana. Casting $1 requires $2 mana.,,Максимум маны у жезла — $0. На заклинание $1 нужно $2 ед. маны.,魔杖的最大法力为 $0。施放“$1”需要 $2 法力。,杖には最大 $0 のマナがあります。$1 を詠唱するには $2 マナが必要です。,완드의 최대 마나가 $0입니다. $1 시전을 위해서는 $2 마나가 필요합니다.,A varinha tem $0 de mana máximo. Lançamentos $1 exigem $2 de mana.,El máximo de maná de la varita es $0. Lanzar $1 requiere $2 maná.,Das Zauberstab hat max. $0 Mana. Zum Wirken von $1 sind $2 Mana erforderlich.,La baguette a un mana max. de $0. Lancer $1 nécessite $2 point(s) de mana.,,,
inventory_info_frozen,INFO - This wand has been frozen,VAROITUS - Sauvan sisältö on jäädytetty,ИНФОРМАЦИЯ: жезл заморожен,信息 - 这支魔杖被冻结了,情報 - この杖は凍結されました,정보 - 완드가 얼었음,INFORMAÇÕES: esta varinha foi congelada,INFORMACIÓN - Esta varita ha sido congelada,INFO - Der Zauberstab wurde eingefroren,INFO - Cette baguette a été gelée,,,
inventory_info_frozen_description,A spell prevents the wand from being customized.,Kirous estää tämän sauvan muokkaamisen.,Заклинание не дает настроить жезл.,某个法术阻碍对魔杖进行定制。,呪文は杖のカスタマイズを阻止します。,주문으로 인해 완드를 사용자 지정할 수 없습니다.,Um feitiço impede que a varinha seja personalizada.,Un hechizo impide que la varita pueda personalizarse.,"Ein Zauber verhindert, dass du den Zauberstab individualisieren kannst.",Un sort empêche la baguette d'être personnalisée.,,,
inventory_seconds,$0 s,$0 s,$0 с,$0 秒,$0 秒,$0초,$0 s,$0 s,$0 s,$0 s,,,
inventory_degrees,$0 DEG,$0 DEG,$0 ГРАД,$0 度,$0 度,$0도,$0 GRAUS,$0 GRAD,$0 GRA,$0 DEG.,,,
inventory_actiontype_projectile,Projectile,,Снаряд,投射物,放射物,발사체,Projétil,Proyectil,Projektil,Projectile,,,
inventory_actiontype_staticprojectile,Static proj.,,Стат. снаряд,静态投射物,静電放射物,지속 발사체,Proj. estát.,Proyectil estático,Statisches Proj.,Proj. statique,,,
inventory_actiontype_modifier,Proj. modifier,,Модиф. снаряда,投射修正,放射物調整盤,발사체 조작,Modific. de proj.,Modificador de proyectil,Proj.-Modifikator,Modif. proj.,,,
inventory_actiontype_drawmany,Multicast,,Множ. налож.,多重施放,マルチキャスト,다중 시전,Multilançamento,Lanzamiento múltiple,Mehrfachzauber,Lancer mult.,,,
inventory_actiontype_material,Material,,Материал,材料,資材,재료,Material,Material,Substanz,Matériau,,,
inventory_actiontype_other,Other,,Другое,其他,その他,기타,Outro,Otros,Anderes,Autre,,,
inventory_actiontype_utility,Utility,,Полезное,实用,ユーティリティー,유틸리티,Utilidade,Utilidad,Nützliches,Utilité,,,
inventory_actiontype_passive,Passive,,Пассивное,被动,受け身,패시브,Passiva,Pasiva,Passiv,Passif,,,
item_spell_refresh,Spell refresher,Magian virkistys,Обновление заклинаний,法术刷新器,呪文リフレッシャー,주문 충전기,Reabastecedor de feitiços,Recarga de hechizos,Zauberauffrischung,Rechargeur de sorts,,,
itemtitle_spell_refresh,Picked up Spell refresher,Magian virkistys,Взято обновление заклинаний,已拾取“法术刷新器”,呪文リフレッシャーを拾いました,주문 충전기를 획득했습니다,Pegou o Reabastecedor de feitiços,Has recogido una recarga de hechizos,Zauberauffrischung eingesammelt,A ramassé le rechargeur de sorts,,,
itemdesc_spell_refresh,All spells refreshed,Kaikki loitsut virkistetty,Все заклинания обновлены,所有法术已刷新,全ての呪文が更新されました,모든 주문이 충전되었습니다,Todos os feitiços reabastecidos,Todos los hechizos recargados,Alle Zauber aufgefrischt,Tous les sorts sont rechargés,,,
itemtitle_wand_pickup,Picked up a new magic wand,,Взят новый волшебный жезл,已拾取新魔杖,新しい魔法の杖を拾いました,새 마법 완드를 획득했습니다,Pegou uma nova varinha mágica,Has recogido una nueva varita,Neuen Zauberstab eingesammelt,A ramassé une nouvelle baguette magique,,,
itemtitle_chest_open,Opened a treasure chest!,,Открыт сундук с сокровищами!,已开启一个宝箱！,宝箱を開きました！,보물 상자를 열었습니다!,Abriu um baú de tesouro!,¡Cofre del tesoro abierto!,Schatztruhe geöffnet!,A ouvert un coffre au trésor !,,,
itemtitle_chest_broken_open,A chest was broken open,,Сундук был взломан,宝箱被破开,箱が壊れた状態で開いていました,보물 상자를 망가뜨려 열었습니다,Um baú foi arrombado,Un cofre ha sido abierto a golpes,Eine Truhe wurde aufgebrochen,Un coffre a été ouvert de force,,,
log_endcrystal,Touched the cursed crystal!,,Коснулись проклятого кристалла!,触摸了诅咒水晶！,呪われたクリスタルに触りました！,저주 받은 수정을 건드렸습니다!,Touched the cursed crystal!,¡Has tocado el cristal maldito!,Den verfluchten Kristall berührt!,A touché le cristal maudit !,,,
logdesc_endcrystal,Something stirs above you,,Something stirs above you,Something stirs above you,何かが頭上で回っています,위쪽이 뭔가 소란스럽습니다,Something stirs above you,Algo se retuerce sobre ti,Etwas rührt sich über dir,Something stirs above you,,,
logdesc_temple_spawn_guardian,You have angered the Gods,,Вы разозлили богов,你触怒了神明,神々の怒りを買いました,신들의 분노를 샀습니다,Você enfureceu os deuses,Has enfurecido a los dioses,Du hast die Götter verärgert,Vous vous êtes attiré la colère des dieux,,,
logdesc_gods_are_angry,You have angered the Gods,,Вы разозлили богов,你触怒了神明,神々の怒りを買いました,신들의 분노를 샀습니다,Você enfureceu os deuses,Has enfurecido a los dioses,Du hast die Götter verärgert,Vous vous êtes attiré la colère des dieux,,,
logdesc_gods_are_very_angry,The Gods are very angry with you,,Боги очень злы на вас,神明对你非常生气,神々があなたに対して激怒しています,신들이 당신에게 매우 화가 났습니다,Os deuses estão furiosos com você,Los dioses están muy molestos contigo,Die Götter sind sehr wütend auf dich,Les dieux sont furieux envers vous,,,
damage_projectile,projectile,ammus,метание,投射物,放射物,발사체,projétil,proyectil,Projektil,projectile,,,
damage_electricity,electricity,sähkö,электричество,雷电,電撃,전기,eletricidade,electricidad,Elektrizität,électricité,,,
damage_explosion,explosion,räjähdys,взрыв,爆炸,爆破,폭발,explosão,explosión,Explosion,explosion,,,
damage_fire,fire,tuli,огонь,火焰,炎,불,fogo,fuego,Feuer,feu,,,
damage_melee,melee,lyönti,рукопашная,近战,近接,근접,corpo a corpo,cuerpo a cuerpo,Nahkampf,mêlée,,,
damage_drill,drill,pora,бурение,穿凿,ドリル,관통,furo,perforante,Bohren,perçant,,,
damage_slice,slice,viilto,резание,切削,スライス,베기,corte,corte,Schnitt,tranchant,,,
damage_ice,ice,jää,лед,寒冰,氷,얼음,gelo,hielo,Eis,glace,,,
damage_healing,healing,hiilaus,лечение,治疗,回復,치료,cura,sanación,Heilung,soin,,,
damage_physicshit,physics hit,törmäys,физический удар,物理击打,物理ヒット,물리 명중,acerto de física,golpe del entorno,physischer Treffer,coup physique,,,
damage_radioactive,toxic,radioaktiivinen,радиоактивность,毒液,猛毒,독성,tóxico,tóxico,toxisch,toxique,,,
damage_poison,poison,myrkky,яд,中毒,毒,독,veneno,veneno,Gift,poison,,,
damage_water,wetness,kastuminen,влажность,潮湿,湿気,젖음,umidade,humedad,Nässe,humidité,,,
damage_fall,fall,putoaminen,падение,坠落,落下,추락,queda,caída,fallen,chute,,,
damage_drowning,drowning,hukkuminen,утопление,窒息,溺れる,익사,afogamento,ahogo,ertrinken,noyade,,,
damage_frommaterial,damage from material: $0,materiaalivahinko: $0,урон от материала: $0,来自材料的伤害：$0,資材によるダメージ： $0,재료 대미지: $0,dano de material: $0,daño de material: $0,Schaden durch Substanz: $0,dégâts par matériau : $0,,,
damage_kick,kick,potku,удар,踢击,蹴る,발차기,chutar,Patada,Schlag,coup de pied,,,
damage_holy_mountains_curse,Holy Mountain's curse,Pyhän Vuoren kirous,Проклятие Святой горы,圣山之咒,聖なる山の呪い,신성한 산의 저주,Maldição da Montanha Sagrada,Maldición de la Montaña Sagrada,Der Fluch des Heiligen Bergs,malédiction de la Montagne sacrée,,,
stat_depth,Depth:,Syvyys:,Глубина:,深度：,深さ：,깊이:,Profundidade:,Profundidad:,Tiefe:,Profondeur :,,,
stat_time,Time:,Aika:,Время:,时间：,時間：,시간:,Tempo:,Tiempo:,Zeit:,Temps :,,,
stat_places_visited,Places visited:,Löydetyt paikat:,Посещено мест:,造访地点：,訪れた場所：,방문한 장소:,Locais visitados:,Lugares visitados:,Besuchte Orte:,Endroits visités :,,,
stat_enemies_slain,Enemies slain:,Listityt vihut:,Убито врагов:,击杀敌人：,倒した敵：,죽인 적:,Inimigos abatidos:,Enemigos derrotados:,Getötete Feinde:,Ennemis tués :,,,
stat_max_hp,Max HP:,Max HP:,Макс. ОЗ:,最大生命值：,最大HP：,최대 체력:,PV máx.:,PS máx.:,Max. LP:,PV max. :,,,
stat_gold,Gold:,Kultaa:,Золото:,黄金：,ゴールド：,골드:,Ouro:,Oro:,Gold:,Or :,,,
stat_items_found,Items found:,Löydetyt esineet:,Найдено предметов:,找到物品：,見つけたアイテム：,발견한 아이템:,Itens encontrados:,Objetos encontrados:,Gefundene Gegenstände:,Objets trouvés :,,,
stat_orbs,Orbs collected:,Löydetyt taikapallot:,Собрано шаров:,获得魔球：,回収したオーブ：,수집한 오브:,Orbes coletados:,Orbes recogidos:,Gesammelte Kugeln:,Orbes récupérés :,,,
stat_total_deaths,Total deaths:,Kuolemia yhteensä:,Всего смертей:,死亡总次数：,合計死亡数：,총 사망:,Mortes:,Total de muertes:,Gesamte Tode:,Morts totales :,,,
stat_total_play_time,Total play time:,Peliaika yhteensä:,Общее время игры:,游玩总时间：,合計プレイ時間：,총 플레이 시간:,Tempo de jogo:,Tiempo jugado:,Gesamte Spielzeit:,Temps de jeu total :,,,
stat_total_wins,Total wins:,Läpäisyjä:,Всего побед:,胜利总次数：,合計勝利数：,총 승리:,Vitórias:,Total de victorias:,Gesamte Siege:,Victoires totales :,,,
stat_cause_of_death,Cause of death: '$0',Kuolinsyy: '$0',Причина смерти: «$0»,死因：“$0”,死因： 「$0」,사망 원인: '$0',Causa da morte: $0,Causa de la muerte: '$0',Todesursache: $0,Cause de la mort : « $0 »,,,
stat_best,(Best: $0),(Paras: $0),(Лучший результат: $0),（最佳：$0）,(最高： 「$0」),(최고: $0),(Recorde: $0),(Mejor: $0),(Bestleistung: $0),(Meilleur : $0),,,
credits_game_by,A game by,Noidan tekivät:,Авторы игры,诚意推出,ゲーム制作,게임 제작:,Jogo produzido por,Un juego creado por,Ein Spiel von,Un jeu par,,,
credits_music,With music by From Grotto and Niilo Takalainen,Musiikin tuottivat From Grotto ja Niilo Takalainen,Музыка: From Grotto и Niilo Takalainen,由 From Grotto 与 Niilo Takalainen 负责音乐,楽曲提供：From Grotto、Niilo Takalainen,음악 제작: From Grotto와 Niilo Takalainen,Com músicas de Grotto e Niilo Takalainen,Con música de From Grotto y Niilo Takalainen,Mit Musik von Grotto und Niilo Takalainen,Musique composée par From Grotto et Niilo Takalainen,,,
credits_sounddesign,Sound design by Niilo Takalainen,Äänet toteutti: Niilo Takalainen,Звуковое оформление: Niilo Takalainen,音效设计 Niilo Takalainen,サウンドデザイン：Niilo Takalainen,사운드 디자인: Niilo Takalainen,Design de som feito por Niilo Takalainen,Diseño de sonido: Niilo Takalainen,Sound-Design von Niilo Takalainen,Conception sonore par Niilo Takalainen,,,
